ts_code,date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600519.SH,20190618,917.0,920.0,902.6,917.0,911.6,5.4,0.5924,29441.38,2687679.912
600519.SH,20190619,940.0,946.7,932.01,932.01,917.0,15.01,1.6369,53726.4,5051192.622
600519.SH,20190620,932.5,975.5,932.2,975.0,932.01,42.99,4.6126,67271.97,6468666.073
600519.SH,20190621,969.97,984.49,964.5,976.3,975.0,1.3,0.1333,45926.75,4482726.902
600519.SH,20190624,978.3,999.69,975.0,987.1,976.3,10.8,1.1062,45779.2,4532526.991
600519.SH,20190625,992.0,999.0,967.0,982.98,987.1,-4.12,-0.4174,51295.95,5035624.42
600519.SH,20190626,985.0,985.0,971.22,979.86,982.98,-3.12,-0.3174,29588.18,2896585.581
600519.SH,20190627,985.0,1001.0,981.12,996.35,979.86,16.49,1.6829,47978.45,4772724.089
600519.SH,20190628,985.99,988.88,971.33,984.0,981.81,2.19,0.2231,31088.4,3050739.277
600519.SH,20190701,1004.52,1035.6,1000.22,1031.86,984.0,47.86,4.8638,52337.23,5325575.854
600519.SH,20190702,1025.0,1029.5,1016.0,1025.0,1031.86,-6.86,-0.6648,39061.09,3989722.046
600519.SH,20190703,1020.0,1023.0,981.5,987.9,1025.0,-37.1,-3.6195,67139.32,6717755.678
600519.SH,20190704,985.8,990.8,971.22,981.2,987.9,-6.7,-0.6782,46216.68,4531686.001
600519.SH,20190705,986.0,1006.0,976.3,999.82,981.2,18.62,1.8977,50032.71,4968920.475
600519.SH,20190708,995.05,997.9,975.0,984.86,999.82,-14.96,-1.4963,33613.52,3313713.091
600519.SH,20190709,979.3,989.0,968.35,976.06,984.86,-8.8,-0.8935,31723.32,3103986.405
600519.SH,20190710,980.93,990.58,977.0,982.52,976.06,6.46,0.6618,28166.7,2774054.724
600519.SH,20190711,989.96,998.38,976.0,981.5,982.52,-1.02,-0.1038,30514.19,3011117.079
600519.SH,20190712,981.3,991.5,980.01,986.09,981.5,4.59,0.4677,28173.85,2778937.975
600519.SH,20190715,967.8,980.1,951.13,975.93,986.09,-10.16,-1.0303,59870.4,5785726.59
600519.SH,20190716,975.45,982.3,965.0,968.0,975.93,-7.93,-0.8126,33245.24,3226755.644
600519.SH,20190717,968.0,972.99,962.13,963.5,968.0,-4.5,-0.4649,25468.87,2459954.487
600519.SH,20190718,961.5,963.0,947.18,947.5,963.5,-16.0,-1.6606,39252.95,3748507.464
